vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
200,0.025126,994,0.416022,0.424512,0.422227,2,1
200,0.027638,1092,0.433129,0.427936,0.443923,1,1
200,0.030151,1189,0.499098,0.487356,0.486238,1,1
200,0.032663,1288,0.54136,0.537228,0.505837,1,1
200,0.035176,1387,0.565528,0.570339,0.560488,1,1
200,0.037688,1480,0.558327,0.579412,0.59604,1,1
200,0.040201,1574,0.596248,0.636559,0.642064,1,1
200,0.042714,1668,0.64469,0.665902,0.66425,1,1
200,0.045226,1766,0.683752,0.700093,0.698819,1,1
200,0.047739,1864,0.726516,0.749756,0.728259,1,1
200,0.050251,1963,0.769931,0.76129,0.740311,1,1
200,0.052764,2059,0.825008,0.808329,0.81724,1,1
200,0.055276,2155,0.863416,0.802015,0.850659,1,1
200,0.057789,2245,0.848723,0.863054,0.86697,1,1
200,0.060302,2344,0.917816,0.906236,0.884169,1,1
200,0.062814,2440,0.935754,0.906864,0.95802,1,1
200,0.065327,2536,0.938558,0.988769,0.938311,1,1
200,0.067839,2631,1.024789,0.975999,1.005733,1,1
200,0.070352,2728,1.027429,1.029328,1.0646,1,1
200,0.072864,2820,1.090258,1.054499,1.029903,1,1
200,0.075377,2916,1.144854,1.065531,1.110499,1,1
200,0.077889,3007,1.114644,1.144539,1.120968,1,1
200,0.080402,3100,1.147341,1.183853,1.138126,1,1
200,0.082915,3193,1.20947,1.193438,1.168514,1,1
200,0.085427,3283,1.271211,1.210026,1.213458,1,1
200,0.08794,3378,1.304291,1.244859,1.271051,1,1
200,0.090452,3476,1.342244,1.272775,1.275493,1,1
200,0.092965,3567,1.398732,1.338999,1.321561,1,1
200,0.095477,3662,1.403973,1.347406,1.318459,1,1
200,0.09799,3748,1.389181,1.392925,1.36513,1,1
200,0.100503,3836,1.4508,1.433586,1.387011,1,1
200,0.103015,3928,1.477979,1.459798,1.477739,1,1
200,0.105528,4024,1.52558,1.47002,1.449124,1,1
200,0.10804,4117,1.567362,1.542941,1.509342,1,1
200,0.110553,4211,1.586879,1.544698,1.59401,1,1
200,0.113065,4298,1.569599,1.558106,1.548974,1,1
200,0.115578,4385,1.608705,1.628899,1.602103,1,1
200,0.11809,4473,1.610944,1.614108,1.623931,1,1
200,0.120603,4561,1.690666,1.693705,1.711278,1,1
200,0.123116,4652,1.708956,1.679108,1.707475,1,1
200,0.125628,4743,1.735584,1.708485,1.709187,1,1
200,0.128141,4839,1.766535,1.723836,1.737024,1,1
200,0.130653,4928,1.802013,1.765152,1.773199,1,1
200,0.133166,5016,1.85064,1.798298,1.809192,1,1
200,0.135678,5096,1.855434,1.843196,1.844929,1,1
200,0.138191,5183,1.916507,1.877594,1.8551,1,1
200,0.140704,5267,1.954107,1.895151,1.865555,1,1
200,0.143216,5355,1.920735,1.910761,1.906109,1,1
200,0.145729,5437,1.95766,1.93259,1.904214,1,1
200,0.148241,5528,2.002068,1.974133,1.973298,1,1
200,0.150754,5618,2.026603,2.027708,1.993495,1,1
200,0.153266,5704,2.120694,2.093003,2.090862,1,1
200,0.155779,5789,2.109412,2.047162,2.098712,1,1
200,0.158291,5870,2.142181,2.129117,2.100341,1,1
200,0.160804,5957,2.181527,2.138544,2.121685,1,1
200,0.163317,6042,2.216677,2.204104,2.167671,1,1
200,0.165829,6126,2.207494,2.240909,2.205284,1,1
200,0.168342,6211,2.258759,2.24188,2.190409,1,1
200,0.170854,6296,2.267665,2.226111,2.265437,1,1
200,0.173367,6372,2.290143,2.230774,2.254128,1,1
200,0.175879,6452,2.324704,2.344154,2.334195,1,1
200,0.178392,6536,2.353267,2.285098,2.321659,1,1
200,0.180905,6617,2.432656,2.409765,2.32741,1,1
200,0.183417,6699,2.401253,2.414826,2.387555,1,1
200,0.18593,6782,2.430399,2.342795,2.456591,1,1
200,0.188442,6861,2.525624,2.475735,2.414353,1,1
200,0.190955,6949,2.589965,2.536849,2.500744,1,1
200,0.193467,7029,2.593076,2.571414,2.541762,1,1
200,0.19598,7111,2.614643,2.681422,2.557366,1,1
200,0.198492,7198,2.61636,2.572119,2.578372,1,1
200,0.201005,7281,2.556717,2.581973,2.640153,1,1
200,0.203518,7365,2.635451,2.669264,2.652241,1,1
200,0.20603,7443,2.665659,2.66007,2.620675,1,1
200,0.208543,7525,2.712043,2.705541,2.621612,1,1
200,0.211055,7617,2.842577,2.806824,2.746462,1,1
200,0.213568,7699,2.824738,2.659386,2.875909,1,1
200,0.21608,7783,2.759011,2.755187,2.769819,1,1
